"Notes"	"Age"	"Age Code"	"Gender"	"Gender Code"	"Race"	"Race Code"	"Yearly July 1st Estimates"	"Yearly July 1st Estimates Code"	Population
	"40 years"	"40"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"1990"	"1990"	15457
	"40 years"	"40"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"1991"	"1991"	16392
	"40 years"	"40"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"1992"	"1992"	17464
	"40 years"	"40"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"1993"	"1993"	18597
	"40 years"	"40"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"1994"	"1994"	19579
	"40 years"	"40"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"1995"	"1995"	20366
	"40 years"	"40"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"1996"	"1996"	21416
	"40 years"	"40"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"1997"	"1997"	22452
	"40 years"	"40"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"1998"	"1998"	23339
	"40 years"	"40"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"1999"	"1999"	24033
	"40 years"	"40"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2000"	"2000"	24782
	"40 years"	"40"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2001"	"2001"	25087
	"40 years"	"40"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2002"	"2002"	25295
	"40 years"	"40"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2003"	"2003"	25758
	"40 years"	"40"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2004"	"2004"	26943
	"40 years"	"40"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2005"	"2005"	26989
	"40 years"	"40"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2006"	"2006"	26355
	"40 years"	"40"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2007"	"2007"	26395
	"40 years"	"40"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2008"	"2008"	26802
	"40 years"	"40"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2009"	"2009"	27647
	"40 years"	"40"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2010"	"2010"	29288
"Total"	"40 years"	"40"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"			490436
	"40 years"	"40"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"1990"	"1990"	71925
	"40 years"	"40"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"1991"	"1991"	74387
	"40 years"	"40"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"1992"	"1992"	74941
	"40 years"	"40"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"1993"	"1993"	81942
	"40 years"	"40"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"1994"	"1994"	83831
	"40 years"	"40"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"1995"	"1995"	89379
	"40 years"	"40"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"1996"	"1996"	93892
	"40 years"	"40"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"1997"	"1997"	95464
	"40 years"	"40"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"1998"	"1998"	98998
	"40 years"	"40"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"1999"	"1999"	102418
	"40 years"	"40"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"2000"	"2000"	107021
	"40 years"	"40"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"2001"	"2001"	104238
	"40 years"	"40"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"2002"	"2002"	107139
	"40 years"	"40"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"2003"	"2003"	117017
	"40 years"	"40"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"2004"	"2004"	120568
	"40 years"	"40"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"2005"	"2005"	123274
	"40 years"	"40"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"2006"	"2006"	122358
	"40 years"	"40"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"2007"	"2007"	123612
	"40 years"	"40"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"2008"	"2008"	135021
	"40 years"	"40"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"2009"	"2009"	142482
	"40 years"	"40"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"2010"	"2010"	153530
"Total"	"40 years"	"40"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"			2223437
	"40 years"	"40"	"Female"	"F"	"Black or African American"	"2054-5"	"1990"	"1990"	239928
	"40 years"	"40"	"Female"	"F"	"Black or African American"	"2054-5"	"1991"	"1991"	245365
	"40 years"	"40"	"Female"	"F"	"Black or African American"	"2054-5"	"1992"	"1992"	253976
	"40 years"	"40"	"Female"	"F"	"Black or African American"	"2054-5"	"1993"	"1993"	260291
	"40 years"	"40"	"Female"	"F"	"Black or African American"	"2054-5"	"1994"	"1994"	275086
	"40 years"	"40"	"Female"	"F"	"Black or African American"	"2054-5"	"1995"	"1995"	290382
