year,age in year,age in 2010,male white,female white,male black,female black,male other,female other
2010,40,40,1741302,1703764,280479,311092,167391,182818
2009,40,41,1650964,1624049,257800,287135,155106,170129
2008,40,42,1617543,1593448,257373,288584,146939,161823
2007,40,43,1629491,1612426,254838,287833,136746,150007
2006,40,44,1675823,1653163,268779,300944,137172,148713
2005,40,45,1800948,1774222,285315,319644,139991,150263
2004,40,46,1836550,1823200,280103,317230,136335,147511
2003,40,47,1835730,1830885,274832,312002,133165,142775
2002,40,48,1863505,1849796,273239,309003,123935,132434
2001,40,49,1892976,1882360,273309,310413,118218,129325
2000,40,50,1932264,1900580,287225,321740,122693,131803
1999,40,51,1926604,1895608,282243,319109,117510,126451
1998,40,52,1930980,1902818,276932,312119,113481,122337
1997,40,53,1919172,1893241,274868,310722,109309,117916
1996,40,54,1837038,1821062,259723,296651,105379,115308
1995,40,55,1823394,1804286,253557,290382,100631,109745
1994,40,56,1773034,1765445,240108,275086,94192,103410
1993,40,57,1724147,1718996,225276,260291,90711,100539
1992,40,58,1691393,1684705,218646,253976,82874,92405
1991,40,59,1606901,1606177,210414,245365,81156,90779
1990,40,60,1595340,1593998,207213,239928,77368,87382
1989,40,61,1577443,1581263,195296,226917,71455,80554
1988,40,62,1580826,1584424,184302,213856,66610,75245
1987,40,63,1713993,1728554,176508,207922,62145,70362
1986,40,64,1239110,1247569,142145,168329,52387,58097
1985,40,65,1253331,1265916,144573,172048,50957,55863
1984,40,66,1269267,1288297,142160,168022,46943,50826
1983,40,67,1352095,1370074,142710,168919,44113,47635
1982,40,68,1183008,1200772,137132,162791,40169,43045
1981,40,69,1112196,1131274,129513,155310,37251,38931
1980,40,70,1065031,1082655,126293,151227,33945,35178
1979,40,71,1059853,1078402,118620,142362,26147,28939
1978,40,72,1042568,1061288,117003,140592,24153,26925
1977,40,73,1008044,1027352,113177,135938,22023,24793
1976,40,74,997114,1017790,111840,134231,20408,23175
1975,40,75,984795,998464,112605,133618,20114,22636
1974,40,76,962688,978437,110274,132462,19305,21939
1973,40,77,973067,994281,113162,134694,19083,21899
1972,40,78,983880,999877,106439,127062,17625,20358
1971,40,79,1007122,1023799,108953,128968,16336,19410
1970,40,80,1050829,1078662,118213,140251,15642,19124
1969,40,81,1031934,1061979,110832,131937,14283,17267
1968,40,82,1051287,1083694,111949,132254,13731,16432
1967,40,83,1066758,1101565,112596,131948,13328,15549
1966,40,84,1078250,1115527,112880,131284,12953,14556
1965,40,85,1089142,1128895,113069,130751,12686,13577
1964,40,86,1101136,1143361,113366,130393,12571,12722
1963,40,87,1106568,1150369,113249,129505,12258,11842
1962,40,88,1100795,1143605,112171,127649,11757,11009
1961,40,89,1086253,1125743,110476,125059,11106,10215
1960,40,90,1068884,1105200,108551,122230,10439,9454
1959,40,91,1040484,1079741,107982,119039,10008,8778
1958,40,92,1047889,1078693,107501,116585,9661,8186
1957,40,93,1031215,1057155,107464,115962,9543,7782
1956,40,94,1010655,1037400,107641,116701,9612,7532
1955,40,95,1007184,1032027,107647,117439,9704,7313
1954,40,96,997364,1021027,107596,118230,9806,7144
1953,40,97,988295,1010189,106936,118157,9883,6932
1952,40,98,969890,988136,105208,116290,9884,6619
1951,40,99,951400,969245,102545,112946,9825,6245
1950,40,100,953476,967742,99685,109469,9761,5893
1949,40,101,943719,957729,94623,104411,9474,5429
1948,40,102,927118,942211,92816,101553,9559,5295
1947,40,103,909644,925258,91771,99902,9836,5587
1946,40,104,892184,908001,91566,99079,10270,6192
1945,40,105,873647,889137,90239,98153,10568,6813
1944,40,106,860908,870528,88729,96874,10856,7484
1943,40,107,849679,854447,86843,95517,10903,7869
1942,40,108,839539,841521,84772,93514,10563,7656
1941,40,109,832287,829892,83225,91026,9968,6977
1940,40,110,821301,815135,81955,89198,9312,6309
